razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
POSTO ARAUJO COMERCIO E DISTRIBUICAO DE COMBUSTIVEIS E LUBRIFICANTES LTDA.,"AVENIDA AMERICO VESPUCIO, 809",Aparecida,PETROBRAS DISTRIBUIDORA S.A.,4.575,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
ORGANIZACOES GUALBERTO LTDA - EPP,"RUA MARIA GERTRUDES SANTOS, 293",Ceu Azul,PETROBRAS DISTRIBUIDORA S.A.,4.577,4275,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO UNIAO LTDA,"AVENIDA DOM PEDRO I, 3880",Vnda Nova,RAIZEN,4.577,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO JOCA LTDA,"AV. ANTONIO JOSE DOS SANTOS,609, S/N",Ceu Azul,PETROBRAS DISTRIBUIDORA S.A.,4.577,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
DELMA - COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA VILARINHO, 3353",Leticia Distrito de Venda Nova,PETROBRAS DISTRIBUIDORA S.A.,4.578,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CATEDRAL LTDA,"AVENIDA CRISTIANO MACHADO, 11100",Vila Cloris,RAIZEN,4.595,4302,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 8665",Dona Clara,RAIZEN,4.595,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO MARIO WERNECK LIMITADA,"AVENIDA CRISTIANO MACHADO, 9292",Dona Clara,IPIRANGA,4.597,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
GAS BRAS LTDA,"RODOVIA PAPA JOAO PAULO II, 400",Satelite,ALESAT,4.597,4190,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
AUTO POSTO MENDONCA LTDA,"AVENIDA CRISTIANO MACHADO, 2506",Cidade Nova,PETROBRAS DISTRIBUIDORA S.A.,4.597,4298,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO BOA ESPERANCA LTDA.,"RODOVIA PAPA JOAO PAULO II, 3031",Serra Verde,ALESAT,4.597,4214,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO TATIANA LTDA,"AVENIDA PEDRO I, 468",Jardim Atlantico,PETROBRAS DISTRIBUIDORA S.A.,4.597,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
GNV SETE BELO LTDA,"AVENIDA CRISTIANO MACHADO, 8898",Minaslandia,PETROBRAS DISTRIBUIDORA S.A.,4.597,4238,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO BRUNINHA LTDA,"AVENIDA DOM PEDRO I, 1680",Itapoa,IPIRANGA,4.597,4302,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CM LTDA,"AVENIDA CRISTIANO MACHADO, 3050 0",União,RAIZEN,4.597,4339,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
SOCIEDADE COMERCIAL CANAA LTDA,"RODOVIA PAPA JOAO PAULO II, 3614",Canaa,ALESAT,4.597,4187,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO MINAS SHOPPING LTDA,"AVENIDA CRISTIANO MACHADO, 3400",Uniao,PETROBRAS DISTRIBUIDORA S.A.,4.597,4238,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO DE COMBUSTIVEL PASSARELA LTDA,"AVENIDA CRISTIANO MACHADO, 2525",Silveira,IPIRANGA,4.597,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO WAP CRISTIANO MACHADO LTDA,"AVENIDA CRISTIANO MACHADO, 9434",Minaslandia (p Maio),RAIZEN,4.597,4339,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CAMOES LTDA,"AVENIDA PORTUGAL, 4611",Itapoa,PETROBRAS DISTRIBUIDORA S.A.,4.597,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,PETROBRAS DISTRIBUIDORA S.A.,4.598,4365,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO SAO BERNARDO LTDA,"AVENIDA CRISTIANO MACHADO, 9505",Dona Clara,IPIRANGA,4.599,4345,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO CN LTDA,"AVENIDA CRISTIANO MACHADO, 1383",Da Graca,RAIZEN,4.599,4319,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO ENTRADA OBRIGATÓRIA LTDA,"AVENIDA PORTUGAL, 4260",Jardim Atlântico,IPIRANGA,4.599,4375,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO GUARAPARI LTDA,"AVENIDA GUARAPARI, 1201 LOTE 15 E 16",Santa Amelia,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO SANTO ONOFRE LTDA,"RUA ERICO VERISSIMO, 1645",Santa Monica,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO ATLANTICO LTDA,"AVENIDA PORTUGAL, 150",Jardim Atlantico,IPIRANGA,4.697,-,-,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO VANORTE LTDA,"RUA DOUTOR ALVARO CAMARGOS, 1795",Santa Branca,BRANCA,4.699,4180,CIF,TORRAO,10/03/2020,gasolina,Belo Horizonte,1082
A CARABETTI & CIA LTDA,"AVENIDA CRISTIANO MACHADO, 2000",Cidade Nova,PETROBRAS DISTRIBUIDORA S.A.,4.797,4290,CIF,-,10/03/2020,gasolina,Belo Horizonte,1082
POSTO BOM BOM LTDA,"AVENIDA CONTORNO, 2694",Santa Efigenia,IPIRANGA,4.439,-,-,-,19/03/2020,gasolina,Belo Horizonte,1083
POSTO BEAGAS GNV LTDA.,"AVENIDA DOM PEDRO II, 4685",Jardim Montanhes,RAIZEN,4.439,-,-,-,19/03/2020,gasolina,Belo Horizonte,1083
POSTO BH LTDA - ME,"AVENIDA DOS ANDRADAS, 1350",Centro,PETROBRAS DISTRIBUIDORA S.A.,4.445,4145,CIF,-,18/03/2020,gasolina,Belo Horizonte,1083
POSTO ESTACAO BH LTDA,"AVENIDA CRISTIANO MACHADO, 10025",Heliopolis,PETROBRAS DISTRIBUIDORA S.A.,4.445,4189,CIF,-,18/03/2020,gasolina,Belo Horizonte,1083
ROL COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA ANDRADAS, 3520",Pompeia,PETROBRAS DISTRIBUIDORA S.A.,4.445,4121,CIF,-,18/03/2020,gasolina,Belo Horizonte,1083
POSTO WAP LTDA,"AVENIDA PEDRO II, 4091",Vila Futuro,RAIZEN,4.445,-,-,-,19/03/2020,gasolina,Belo Horizonte,1083
POSTO LESTE LTDA,"AVENIDA DOS ANDRADAS, 3300",Santa Efigenia,PETROBRAS DISTRIBUIDORA S.A.,4.445,-,-,-,18/03/2020,gasolina,Belo Horizonte,1083
POSTO PRISMA LTDA,"AVENIDA VER. CICERO ILDEFONSO, 684",Joao Pinheiro,IPIRANGA,4.446,4160,CIF,-,18/03/2020,gasolina,Belo Horizonte,1083
KING EMPREENDIMENTOS COMERCIAIS LTDA,"AVENIDA VEREADOR CÍCERO ILDEFONSO, 1065",Coração Eucarístico,BRANCA,4.446,4013,CIF,ALESAT,18/03/2020,gasolina,Belo Horizonte,1083
POSTO DE COMBUSTÍVEIS SANTO AGOSTINHO LTDA.,"AVENIDA AMAZONAS, 2381",Santo Agostinho,BRANCA,4.447,4036,CIF,TORRAO,18/03/2020,gasolina,Belo Horizonte,1083
POSTO QUICK LTDA,"AVENIDA CORONEL JOSE BENJAMIM, 17",Padre Eustaquio,RAIZEN,4.447,-,-,-,18/03/2020,gasolina,Belo Horizonte,1083
POSTO OCEANO LTDA,"AVENIDA DO CONTORNO, 10325",Barro Preto,RAIZEN,4.447,4212,CIF,-,18/03/2020,gasolina,Belo Horizonte,1083
