data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2011-06-05,2011-06-11,2.745,0.155,2.299,3.629,,,nacional
2011-06-12,2011-06-18,2.737,0.157,2.299,3.629,,,nacional
2011-06-19,2011-06-25,2.73,0.158,2.268,3.629,,,nacional
2011-06-26,2011-07-02,2.737,0.154,2.27,3.629,,,nacional
2011-07-03,2011-07-09,2.734,0.154,2.27,3.54,,,nacional
2011-07-10,2011-07-16,2.734,0.154,2.309,3.45,,,nacional
2011-07-17,2011-07-23,2.733,0.152,2.29,3.45,,,nacional
2011-07-24,2011-07-30,2.739,0.148,2.29,3.45,,,nacional
2011-07-31,2011-08-06,2.732,0.15,2.29,3.45,,,nacional
2011-08-07,2011-08-13,2.733,0.15,2.239,3.45,,,nacional
2011-08-14,2011-08-20,2.733,0.148,2.199,3.49,,,nacional
2011-08-21,2011-08-27,2.737,0.149,2.349,3.49,,,nacional
